MAINUPC,ITEMNAME,SizeName,PackName,ItemPrice,TOTALQTY_MULTI,ItemTypeDesc
000000000123,SMIRNOFF CRANBERRY,1.0L,,19.99,4,
000000111,MD 2020 STRAWBERRY KIWI,750 ML,,2.99,35,
008604760016,RON HACIENDA SANTA ANA 138,750 ML,,30.99,1,
020212030039,CLASE AZUL GOLD,750 ML,,699.00,1,
021296006002,PAUL MASSON BRANDY,1.0L,,13.99,46,
021296006019,PAUL MASSON BRANDY,750 ML,,11.50,54,
021296006033,PAUL MASSON BRANDY,200ML,,4.69,26,
021296006064,PAUL MASSON BRANDY,375 ML,,7.09,260,
021296006309,PAUL MASSON VSOP,750 ML,,11.99,-1,
021296006514,PAUL MASSON BRANDY,100 ML,,2.00,121,
021296006538,PAUL MASSON VSOP,100 ML,,2.79,-23,
021296006552,PAUL MASSON VSOP,375 ML,,7.59,82,
021296021012,PAUL MASSON VSOP,200ML,,5.29,41,
021296600309,PAUL MASSON BRANDY,1.75L,,23.47,15,
021296620017,PAUL MASSON PEACH BRANDY,375 ML,,7.09,-55,
021296620024,PAUL MASSON PEACH,750 ML,,10.99,-35,
021296620031,PAUL MASSON PEACH BRANDY,200ML,,4.39,-29,
021296620048,PAUL MASSON PEACH,1.75L,,22.99,10,
021296620079,PAUL MASSON RED BERRY,750 ML,,10.99,6,
021296620086,PAUL MASSON RED BERRY,50 ML,,1.15,171,
021296620130,PAUL MASSON PINEAPPLE,50 ML,,1.00,27,
021296620154,PAUL MASSON APPLE,50 ML,,1.03,154,
021296620192,PAUL MASSON PINEAPPLE,375 ML,SINGLE,7.09,-5,
021296620215,PAUL MASSON PINEAPPLE,750 ML,,10.99,21,
021296620253,PAUL MASSON APPLE BRANDY,375 ML,,7.09,70,
021296620277,PAUL MASSON APPLE,750 ML,,10.99,19,
021296620314,PAUL MASSON MANGO BRANDY,50 ML,,1.00,33,
021296620338,PAUL MASSON MANGO,200ML,,4.39,0,
021296620352,PAUL MASSON MANGO,375 ML,,7.09,0,
021296620376,PAUL MASSON MANGO,750 ML,,10.49,13,
021296620390,PAUL MASSON MANGO,1.75L,,22.99,8,
021893792520,TRES RIOS TEQUILA SILVER,750 ML,,23.99,1,
022851050010,FELIPE II BRANDY,750 ML,,18.99,8,
